group	slm	lm	retriever	tau	term_training	inference_policy	max_new_tokens	cache	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	status	source
offline	Offline ST	NA	none	NA	none	full-context	NA	NA	38.6910	NA	NA	0.7230	676	935	reference	documents/code/simuleval/reports/20260524_main_result_data.tsv
offline	Offline + GT terms	NA	oracle GT terms	NA	none	full-context	NA	NA	41.4850	NA	NA	0.9080	849	935	oracle_reference	documents/code/simuleval/reports/20260524_main_result_data.tsv
infinisst_baseline	origin de SLM	1	none	NA	none	prompt-row baseline	NA	NA	27.4672	1124.0000	1507.0000	0.6496	NA	NA	old_user_supplied	documents/code/simuleval/reports/20260524_main_result_data.tsv
infinisst_baseline	origin de SLM	2	none	NA	none	prompt-row baseline	NA	NA	31.6370	1773.0000	2273.0000	0.6744	NA	NA	old_user_supplied	documents/code/simuleval/reports/20260524_main_result_data.tsv
infinisst_baseline	origin de SLM	3	none	NA	none	prompt-row baseline	NA	NA	31.7033	2383.0000	3048.0000	0.6864	NA	NA	old_user_supplied	documents/code/simuleval/reports/20260524_main_result_data.tsv
infinisst_baseline	origin de SLM	4	none	NA	none	no-RAG rerun	80	NA	33.3008	2824.4372	4100.5704	0.6909	646	935	verified	documents/code/simuleval/manifests/2026/05/20260524T160830__simuleval__tagged_acl_origin_norag_de_lm4_raw_rerun.json
no_rag_rerun	origin de SLM	2	none	NA	none	no-RAG batch	40	NA	29.7466	1577.0870	1007.6402	0.6417	600	935	verified	documents/code/simuleval/manifests/2026/05/20260524T2220__simuleval__tagged_acl_origin_norag_de_lm2_batch_max40_aries01.json
no_rag_rerun	origin de SLM	2	none	NA	none	no-RAG batch	80	NA	30.0676	1541.8293	1264.7621	0.6364	595	935	verified	documents/code/simuleval/manifests/2026/05/20260524T2200__simuleval__tagged_acl_origin_norag_de_lm2_batch_max80_aries01.json
no_rag_rerun	origin de SLM	4	none	NA	none	no-RAG batch	40	NA	30.0243	2675.3594	882.8662	0.6738	630	935	verified	documents/code/simuleval/manifests/2026/05/20260524T2338__simuleval__tagged_acl_origin_norag_de_lm4_batch_max40_aries23.json
origin_rag	origin de SLM	2	HN1024	0.78	none	RAG batch	80	default	30.8132	1604.7783	1299.0939	0.8225	769	935	verified	documents/code/simuleval/manifests/2026/05/20260524T2135__simuleval__tagged_acl_origin_de_lm2_hn1024_batch.json
old_tmsft	old TM-SFT de SLM	2	HN1024	0.78	TM-SFT	RAG batch	80	default	31.1211	1618.2386	1350.2295	0.8353	781	935	verified	documents/code/simuleval/manifests/2026/05/20260524T2135__simuleval__tagged_acl_tmv4_de_lm2_hn1024_batch.json
old_tmsft	old TM-SFT de SLM	2	HN1024	0.78	TM-SFT	omit empty term_map	80	default	31.0329	1623.5111	875.2451	0.8235	770	935	verified_mfa_analysis	documents/code/simuleval/reports/20260525_de_mfa_termmap_lm_shape_summary.tsv
old_tmsft	old TM-SFT de SLM	4	HN1024	0.78	TM-SFT	omit empty term_map	80	default	32.5332	2671.0635	541.2869	0.8406	786	935	verified	documents/code/simuleval/manifests/2026/05/20260525T102941__simuleval__tagged_acl_tmv4_de_lm4_hn1024_tau078_omit_batch_taurus45.json
old_tmsft_protocol	old TM-SFT de SLM	4	HN1024	0.73	TM-SFT	old cache none-block	40	80/60s 20/15 chunks	32.2613	2696.7883	1370.5503	0.8396	785	935	verified	documents/code/simuleval/reports/20260525_de_lm4_tmv4_old_protocol_compat_matrix.tsv
old_tmsft_protocol	old TM-SFT de SLM	4	HN1024	0.73	TM-SFT	old cache omit	40	80/60s 20/15 chunks	32.0388	2669.6164	1230.0560	0.8235	770	935	verified	documents/code/simuleval/reports/20260525_de_lm4_tmv4_old_protocol_compat_matrix.tsv
old_tmsft_protocol	old TM-SFT de SLM	4	HN1024	0.73	TM-SFT	short cache omit	80	40/20s 8/4 chunks	32.7702	2626.1659	1122.1645	0.8492	794	935	verified	documents/code/simuleval/reports/20260525_de_lm4_tmv4_old_protocol_compat_matrix.tsv
old_tmsft_protocol	old TM-SFT de SLM	4	HN1024	0.78	TM-SFT	old cache omit	80	80/60s 20/15 chunks	32.5332	2671.0635	1336.6102	0.8406	786	935	verified	documents/code/simuleval/reports/20260525_de_lm4_tmv4_old_protocol_compat_matrix.tsv
termwrap_tmsft	TM-SFT gtwrap de SLM	1	HN1024	0.78	TM-SFT + target term wrap	default cache max80	80	default	20.6877	823.8605	1728.1666	0.7872	736	935	verified	documents/code/simuleval/manifests/2026/05/20260525T0413__simuleval__tagged_acl_tmsft_gttermwrap_exact_de_lm1to4_hn1024_tau078_batch_aries8.json
termwrap_tmsft	TM-SFT gtwrap de SLM	2	HN1024	0.78	TM-SFT + target term wrap	default cache max80	80	default	28.6427	1569.8803	1732.9080	0.8642	808	935	verified	documents/code/simuleval/manifests/2026/05/20260525T0413__simuleval__tagged_acl_tmsft_gttermwrap_exact_de_lm1to4_hn1024_tau078_batch_aries8.json
termwrap_tmsft	TM-SFT gtwrap de SLM	3	HN1024	0.78	TM-SFT + target term wrap	default cache max80	80	default	31.2239	2105.1139	1739.2763	0.8663	810	935	verified	documents/code/simuleval/manifests/2026/05/20260525T0413__simuleval__tagged_acl_tmsft_gttermwrap_exact_de_lm1to4_hn1024_tau078_batch_aries8.json
termwrap_tmsft	TM-SFT gtwrap de SLM	4	HN1024	0.78	TM-SFT + target term wrap	default cache max80	80	default	32.2681	2539.9186	1599.2362	0.8727	816	935	verified	documents/code/simuleval/manifests/2026/05/20260525T0413__simuleval__tagged_acl_tmsft_gttermwrap_exact_de_lm1to4_hn1024_tau078_batch_aries8.json
termwrap_tmsft	TM-SFT gtwrap de SLM	1	HN1024	0.78	TM-SFT + target term wrap	omit empty term_map	80	default	24.0580	899.4127	1515.8970	0.8171	764	935	verified	documents/code/simuleval/manifests/2026/05/20260525T0518__simuleval__tagged_acl_tmsft_gtwrap_de_lm1_omit_emptytm_hn1024_tau078_batch_aries01.json
termwrap_tmsft	TM-SFT gtwrap de SLM	4	HN1024	0.78	TM-SFT + target term wrap	short cache omit	80	40/20s 8/4 chunks	32.6166	2596.2700	684.9767	0.8749	818	935	verified	documents/code/simuleval/reports/20260525_de_lm4_tmsft_gtwrap_shortcache_probe.tsv
newv9_mfa	Clean NewV9 MFA npfilter de SLM	1	HN1024	0.78	RASST target term wrap	none-block empty term_map	80	80/60s 16/8 chunks	26.2487	1015.7327	1302.5656	0.8428	788	935	verified	documents/code/simuleval/manifests/2026/05/20260524T1738__simuleval__tagged_acl_new_v9_mfa_npfilter_lexexact_hn1024_tau078_raw_de_lm1to4_max80.json
newv9_mfa	Clean NewV9 MFA npfilter de SLM	2	HN1024	0.78	RASST target term wrap	none-block empty term_map	80	80/60s 16/8 chunks	29.9264	1671.2547	1335.5140	0.8599	804	935	verified	documents/code/simuleval/manifests/2026/05/20260524T1738__simuleval__tagged_acl_new_v9_mfa_npfilter_lexexact_hn1024_tau078_raw_de_lm1to4_max80.json
newv9_mfa	Clean NewV9 MFA npfilter de SLM	3	HN1024	0.78	RASST target term wrap	none-block empty term_map	80	80/60s 16/8 chunks	30.8100	2157.6432	1092.3204	0.8556	800	935	verified	documents/code/simuleval/manifests/2026/05/20260524T1738__simuleval__tagged_acl_new_v9_mfa_npfilter_lexexact_hn1024_tau078_raw_de_lm1to4_max80.json
newv9_mfa	Clean NewV9 MFA npfilter de SLM	4	HN1024	0.78	RASST target term wrap	none-block empty term_map	80	80/60s 16/8 chunks	31.6993	2718.3163	1411.5991	0.8492	794	935	verified	documents/code/simuleval/manifests/2026/05/20260524T1738__simuleval__tagged_acl_new_v9_mfa_npfilter_lexexact_hn1024_tau078_raw_de_lm1to4_max80.json
newv9_mfa	Clean NewV9 MFA npfilter de SLM	1	HN1024	0.78	RASST target term wrap	short cache omit	80	40/20s 8/4 chunks	25.6060	1020.6399	1023.8905	0.8471	792	935	verified	documents/code/simuleval/reports/20260525_de_lm1_newv9_mfa_omit_shortcache.tsv
cap16	Cap16 exact-boundary de SLM	1	HN1024	0.78	cap16 target term wrap	default cache omit	80	80/60s 16/8 chunks	23.6820	1045.8916	1238.3764	0.8225	769	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_20260525T070739_de_cap16_hn1024_tau078_omit_lm4first_taurus8/de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_max80/__summary__/summary_de_lm1to4.tsv
cap16	Cap16 exact-boundary de SLM	2	HN1024	0.78	cap16 target term wrap	default cache omit	80	80/60s 16/8 chunks	29.9921	1667.3327	1333.1941	0.8588	803	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_20260525T070739_de_cap16_hn1024_tau078_omit_lm4first_taurus8/de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_max80/__summary__/summary_de_lm1to4.tsv
cap16	Cap16 exact-boundary de SLM	3	HN1024	0.78	cap16 target term wrap	default cache omit	80	80/60s 16/8 chunks	32.2752	2242.5082	1025.0184	0.8471	792	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_20260525T070739_de_cap16_hn1024_tau078_omit_lm4first_taurus8/de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_max80/__summary__/summary_de_lm1to4.tsv
cap16	Cap16 exact-boundary de SLM	4	HN1024	0.78	cap16 target term wrap	default cache omit	80	80/60s 16/8 chunks	32.5343	2778.3129	1347.4342	0.8749	818	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_20260525T070739_de_cap16_hn1024_tau078_omit_lm4first_taurus8/de_retriever_cap16_exactboundary_hn1024_tau078_omit_batch_max80/__summary__/summary_de_lm1to4.tsv
cap16	Cap16 exact-boundary de SLM	1	HN1024	0.78	cap16 target term wrap	short cache omit	20	40/20s 8/4 chunks	23.4105	1047.3306	995.1145	0.7968	745	935	verified	documents/code/simuleval/reports/20260525_de_shortcache_lm1to4_selected.tsv
cap16	Cap16 exact-boundary de SLM	2	HN1024	0.78	cap16 target term wrap	short cache omit	40	40/20s 8/4 chunks	30.2953	1641.6537	930.2462	0.8503	795	935	verified	documents/code/simuleval/reports/20260525_de_shortcache_lm1to4_selected.tsv
cap16	Cap16 exact-boundary de SLM	3	HN1024	0.78	cap16 target term wrap	short cache omit	60	40/20s 8/4 chunks	31.7997	2237.8186	1178.7785	0.8588	803	935	verified	documents/code/simuleval/reports/20260525_de_shortcache_lm1to4_selected.tsv
cap16	Cap16 exact-boundary de SLM	4	HN1024	0.78	cap16 target term wrap	short cache omit	80	40/20s 8/4 chunks	33.4820	2745.0985	819.5417	0.8674	811	935	verified	documents/code/simuleval/reports/20260525_de_shortcache_lm1to4_selected.tsv
cap16	Cap16 exact-boundary de SLM	1	HN1024	0.78	cap16 target term wrap	short cache omit	80	40/20s 8/4 chunks	23.6478	1045.2278	1039.1913	0.8321	778	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm12_mt80_shortcache_20260525T1143/full5_lm1_mt80_c40k20_ch8k4/de_retriever_cap16_shortcache_lm1_mt80/__summary__/summary_de_lm1.tsv
cap16	Cap16 exact-boundary de SLM	2	HN1024	0.78	cap16 target term wrap	short cache omit	80	40/20s 8/4 chunks	30.4212	1645.9134	962.7272	0.8503	795	935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm12_mt80_shortcache_20260525T1143/full5_lm2_mt80_c40k20_ch8k4/de_retriever_cap16_shortcache_lm2_mt80/__summary__/summary_de_lm2.tsv
newv10_s50	NewV10 sample50 no-GT retrieved de SLM	1	HN1024	0.79	RASST target term wrap	runtime diagnostic	80	default	25.3990	1069.3422	1254.7813	0.8182	765	935	diagnostic	documents/code/simuleval/reports/20260525_tagged_acl_new_v10_s50_de_lm1_audio128_retry_monitor_strict.tsv
newv10_s50	NewV10 sample50 no-GT retrieved de SLM	2	HN1024	0.79	RASST target term wrap	runtime diagnostic	80	default	28.1309	1568.1770	1190.1591	0.8032	751	935	diagnostic	documents/code/simuleval/reports/20260525_tagged_acl_new_v10_s50_de_lm1to4_monitor_strict.tsv
newv10_s50	NewV10 sample50 no-GT retrieved de SLM	3	HN1024	0.79	RASST target term wrap	runtime diagnostic	80	default	29.5751	2132.9619	951.6283	0.8118	759	935	diagnostic	documents/code/simuleval/reports/20260525_tagged_acl_new_v10_s50_de_lm1to4_monitor_strict.tsv
newv10_s50	NewV10 sample50 no-GT retrieved de SLM	4	HN1024	0.79	RASST target term wrap	runtime diagnostic	80	default	29.1766	2567.2804	810.9914	0.8267	773	935	diagnostic	documents/code/simuleval/reports/20260525_tagged_acl_new_v10_s50_de_lm1to4_monitor_strict.tsv
newv10_s50	NewV10 sample50 no-GT retrieved de SLM	2	HN1024	0.78	RASST target term wrap	runtime diagnostic	80	default	26.0605	1438.9045	960.5404	0.8193	766	935	diagnostic	documents/code/simuleval/reports/20260525_tagged_acl_new_v10_s50_de_lm2_tau078_monitor.tsv
