language	paper_id	gold_occurrences	source_match	source_match_pct	source_target_pair_match	source_target_pair_match_pct	paper_glossary_entries
zh	2022.acl-long.110	204	36	17.6471	29	14.2157	10050
zh	2022.acl-long.117	302	126	41.7219	111	36.7550	10058
zh	2022.acl-long.268	272	75	27.5735	61	22.4265	10052
zh	2022.acl-long.367	266	62	23.3083	52	19.5489	10036
zh	2022.acl-long.590	129	49	37.9845	36	27.9070	10049
ja	2022.acl-long.110	197	36	18.2741	24	12.1827	10050
ja	2022.acl-long.117	291	120	41.2371	94	32.3024	10058
ja	2022.acl-long.268	257	63	24.5136	58	22.5681	10052
ja	2022.acl-long.367	253	58	22.9249	36	14.2292	10036
ja	2022.acl-long.590	128	49	38.2812	30	23.4375	10049
de	2022.acl-long.110	161	26	16.1491	18	11.1801	10050
de	2022.acl-long.117	232	106	45.6897	93	40.0862	10058
de	2022.acl-long.268	239	75	31.3808	66	27.6151	10052
de	2022.acl-long.367	231	57	24.6753	43	18.6147	10036
de	2022.acl-long.590	108	38	35.1852	33	30.5556	10049
